Lookup,Player,Sorting,On Teams,HP url,QM MMR,SL MMR,QM Games,SL Games,MMR,Untracked,Role,Tag,is_primary,Adjustment,Win %,Games,Takedowns,Kills,Assists,Deaths,Kill Participation,KDA,Highest Kill Streak,Vengeances,Time Dead,Time Dead %,Deaths While Outnumbered,Escapes,Team Fight Escapes,Hero Damage,DPM,Physical Damage,Ability Damage,Damage per Death,Team Fight Hero Damage,Siege Damage,Structure Damage,Minion Damage,Summon Damage,Creep Damage,Healing,HPM,Healing per Death,Team Fight Healing,Self Healing,Allied Shields,Clutch Heals,Damage Taken,Damage Soaked,Damage Taken per Death,Team Fight Damage Taken,CC Time,Root Time,Silence Time,Stun Time,Time on Fire,XP Contribution,XPM,Merc Camp Captures,Watch Tower Captures,Aces,Wipes,% of Game with Level Adv.,% of Game with Hero Adv.,Passive XP/Second,Passive XP Gained,Altar Damage Done,Damage to Immortal,Dragon Knights Captured,Shrines Captured,Dubloons Held At End,Dubloons Turned In,Skulls Collected,Shrine Minion Damage,Plant Damage,Seeds Collected,Garden Seeds Collected,Gems Turned In,Nuke Damage,Curse Damage,Time On Temple,Damage Done to Zerg,Cage Unlocks Interrupted,Hero Pool,Damage Ratio,% of Team Damage,% of Team Damage Taken,% of Team Damage Healed,% of Time Slow CC,% of Time Non-Slow CC,Votes,Awards,Award %,MVP,MVP %,Bsteps,Bstep TD,Bstep Deaths,Taunts,Taunt TD,Taunt Deaths,Sprays,Spray TD,Spray Deaths,Dances,Dance TD,Dance Deaths
Ignatius#11137,Ignatius,Ignatius,TRUE,https://www.heroesprofile.com/battletag/searched/Ignatius%2311137/alt,2710,2755,307,112,2755,FALSE,,11137,TRUE,20,55.9%,34,12.76,2.62,10.12,2.41,80%,8.20,8.88,0.35,1:35,8%,1.00,0.65,0.03,33497.71,1829.61,58900.79,45771.47,19117.51,16114.94,56547.97,11342.18,36915.94,3278.15,15525.56,48918.82,2885.58,31574.21,9127.53,7250.62,719.68,0.94,39588.97,32823.32,18769.88,19157.79,8:35,00:01,00:08,00:20,00:00,10481.71,554.14,4.35,0.09,0.29,0.03,35%,21%,26.35,7622.95,0.47,652.53,0.06,0.38,0,0,0,134.06,0.00,0.00,0.00,0.00,0,0.00,00:00,0.00,0.00,14,1.07,16%,15%,19%,43%,3%,0,0,0%,0,0%,3,0,0,0,0,0,4,0,0,0,0,0
IlIlIlIlIlIl#21459,IlIlIlIlIlIl,IlIlIlIlIlIl,TRUE,https://www.heroesprofile.com/battletag/searched/IlIlIlIlIlIl%2321459/alt,2482,2936,17,1369,2936,FALSE,,21459,TRUE,,100%,3,9.33,0.67,8.67,0.67,79%,9.33,7.67,0.33,00:17,2%,0.00,0.00,0.00,11401.00,800.87,21371.67,17503.00,11401.00,4437.00,16164.33,2289.67,12086.67,220.00,11719.33,76877.00,5190.44,80031.00,11422.00,1777.00,1377.00,0.67,17762.67,16180.33,17762.67,10707.67,2:33,00:00,00:06,00:00,00:00,6215.33,401.62,4.00,0.00,0.00,0.00,51%,25%,25.53,5520.61,0.00,2404.33,0,0,0,0,0,0,0,0,0,1.67,0,0,00:00,0,0,3,0.67,6%,9%,40%,14%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
ImGoingEIF#1697,ImGoingEIF,ImGoingEIF,FALSE,https://www.heroesprofile.com/battletag/searched/ImGoingEIF%231697/alt,2668,2593,28,14,2668,FALSE,,1697,TRUE,,100%,1,17.00,2.00,15.00,2.00,74%,8.50,8.00,1.00,1:29,8%,0.00,0.00,0.00,35392.00,1998.25,11707.00,63197.00,17696.00,17483.00,37822.00,2720.00,34626.00,0.00,1936.00,0.00,1662.65,14724.00,0.00,29448.00,0.00,0.00,82990.00,71071.00,41495.00,50270.00,5:30,00:00,00:00,1:07,00:00,8133.00,459.19,0.00,0.00,0.00,0.00,83%,37%,28.90,9454.12,0,0,0.00,2.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,0.43,17%,31%,0%,31%,6%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
infinitymeme#1749,infinitymeme,infinitymeme,TRUE,https://www.heroesprofile.com/battletag/searched/infinitymeme%231749/alt,3000,3246,995,754,3246,FALSE,A,1749,TRUE,-150,100%,4,17.75,6.00,11.75,2.75,81%,7.75,10.75,0.75,1:48,8%,1.50,0.25,0.00,72962.00,3357.09,40912.00,249652.75,31998.63,30029.50,161245.75,31852.00,111789.25,739.50,56899.00,0.00,505.96,3115.68,0.00,11883.75,0.00,0.00,30798.00,22855.25,12633.57,14583.25,1:02,00:06,00:18,00:00,00:00,18723.75,856.07,4.25,0.00,0.00,0.25,57%,29%,29.39,12754.02,0,7885.50,0.25,0.25,0,0,0,0,0,0,0,6.75,0,0,00:00,0,1.00,3,2.41,32%,13%,0%,5%,2%,0,0,0%,0,0%,2,0,0,0,0,0,0,0,0,0,0,0
jackblack#1856,jackblack,jackblack,TRUE,https://www.heroesprofile.com/battletag/searched/jackblack%231856/alt,2387,0,268,-1,2387,TRUE,,1856,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobia#1538,Jacobia,Jacobia,FALSE,https://www.heroesprofile.com/battletag/searched/Jacobia%231538/alt,2625,2652,5136,1787,2652,TRUE,,1538,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jedc22#1294,jedc22,jedc22,TRUE,https://www.heroesprofile.com/Player/jedc22/3910087/1,2703,2714,4051,453,2714,FALSE,,1294,TRUE,-10,60%,5,14.80,2.40,12.40,1.20,85%,12.20,12.40,0.00,00:57,5%,0.40,0.40,0.00,28289.80,1491.32,45719.60,55868.20,21364.80,15106.60,63864.00,4299.00,55086.20,1830.60,11092.60,45656.80,3104.73,44865.50,12143.00,12947.80,422.00,1.20,41273.40,36789.00,30132.40,23392.40,23:44,00:00,00:00,00:07,00:00,14118.60,751.57,4.20,0.00,0.20,0.00,32%,24%,25.90,6245.15,0.00,1789.00,0.00,0.40,0,0,0,375.00,0,0,0,0,0,0,00:00,0,0,3,0.78,13%,18%,19%,131%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jehuty#11386,Jehuty,Jehuty,TRUE,https://www.heroesprofile.com/Player/Jehuty/7127857/1,2633,2550,1064,282,2633,TRUE,,11386,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JesseTissue#1594,JesseTissue,JesseTissue,TRUE,https://www.heroesprofile.com/battletag/searched/JesseTissue%231594/alt,2660,2480,1896,150,2660,TRUE,,1594,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JimmyBobJoe#11749,JimmyBobJoe,JimmyBobJoe,TRUE,https://www.heroesprofile.com/Player/JimmyBobJoe/8034886/1,2721,2833,2349,1172,2833,FALSE,,11749,TRUE,-60,0%,2,12.50,2.00,10.50,5.00,84%,2.63,8.50,0.00,4:00,17%,2.50,0.50,0.00,65650.50,2738.79,41847.00,124719.00,12544.75,42429.50,86997.00,1051.50,81943.00,571.50,10051.00,69512.00,3998.27,19682.92,27673.00,13829.50,0.00,0.50,74245.00,57408.00,14743.71,57646.00,14:15,00:00,00:00,00:00,00:00,15564.50,632.66,3.00,0.00,0.00,0.00,10%,18%,22.43,3379.81,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,2,0.84,19%,18%,20%,71%,0%,0,0,0%,0,0%,0,0,0,0,0,0,2,0,0,0,0,0
Josh#1940,Josh,Josh,TRUE,https://www.heroesprofile.com/battletag/searched/Josh%231940/alt,2839,2485,3784,45,2839,FALSE,,1940,TRUE,,100%,1,13.00,2.00,11.00,0.00,87%,13.00,13.00,0.00,00:00,0%,0.00,0.00,0.00,44721.00,3251.70,23283.00,75010.00,44721.00,27463.00,52913.00,10580.00,40316.00,1510.00,2409.00,17885.00,1726.73,23748.00,197.00,0.00,5863.00,0.00,30839.00,30839.00,30839.00,17716.00,1:05,00:00,00:00,00:00,00:00,8495.00,617.68,2.00,0.00,0.00,0.00,46%,26%,27.68,6338.71,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,1,1.45,30%,20%,16%,8%,0%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kaligo#11938,Kaligo,Kaligo,TRUE,https://www.heroesprofile.com/battletag/searched/Kaligo%2311938/alt,2628,2648,590,949,2648,FALSE,,11938,TRUE,,0%,1,8.00,0.00,8.00,4.00,100%,2.00,3.00,0.00,2:05,15%,0.00,0.00,0.00,14725.00,1099.99,10323.00,12752.00,3681.25,8032.00,9235.00,1196.00,7703.00,1.00,1619.00,67549.00,5070.80,16970.00,16803.00,331.00,0.00,2.00,42518.00,29428.00,10629.50,32200.00,43:44,00:00,00:00,00:00,00:00,3995.00,298.44,2.00,0.00,0.00,0.00,4%,20%,21.99,1600.25,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,0.35,14%,17%,26%,324%,0%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kalkin#1701,Kalkin,Kalkin,TRUE,https://www.heroesprofile.com/Player/Kalkin/4174585/1,2709,2776,1751,2771,2776,FALSE,,1701,TRUE,,40%,5,8.00,0.80,7.20,2.00,60%,6.30,7.40,0.40,1:27,7%,0.80,1.20,0.00,28019.80,1667.91,77119.00,75668.40,14818.93,14754.20,103012.20,14693.20,75410.80,5250.60,20395.20,0.00,787.34,8793.13,0.00,12014.80,0.00,0.00,58819.80,51427.80,33500.05,31899.20,2:27,00:00,00:03,00:16,00:00,14662.60,911.88,2.40,0.00,0.00,0.00,36%,21%,26.30,6372.48,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,21.20,0,1425.40,00:00,0,0,3,0.51,15%,26%,0%,13%,2%,0,0,0%,0,0%,0,0,0,0,0,0,3,0,0,0,0,0
KeN#19807,KeN,KeN,TRUE,https://www.heroesprofile.com/Player/KeN/10644938/1,2849,2980,3566,1303,2980,FALSE,A,19807,TRUE,,0%,1,11.00,3.00,8.00,4.00,79%,2.75,5.00,0.00,3:11,13%,2.00,2.00,1.00,71416.00,3023.30,54070.00,96341.00,17854.00,46764.00,71620.00,12227.00,57749.00,0.00,9562.00,10589.00,3500.40,20671.50,105.00,63028.00,9069.00,0.00,147140.00,126976.00,36785.00,107986.00,2:52,00:00,00:00,00:00,00:00,12539.00,530.82,5.00,0.00,0.00,0.00,1%,18%,23.81,5403.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,0.49,22%,38%,5%,12%,0%,0,0,0%,0,0%,0,0,0,0,0,0,2,0,0,0,0,0
KenFuSaga#1318,KenFuSaga,KeN_alt,TRUE,https://www.heroesprofile.com/battletag/searched/KenFuSaga%231318/alt,2492,3058,45,576,3058,FALSE,A,1318,FALSE,,0%,2,15.50,3.50,12.00,6.00,86%,2.53,8.00,2.00,4:06,17%,1.00,1.00,0.50,79963.50,3135.04,180752.50,217457.00,12919.04,41972.00,222475.50,26514.50,148812.00,19487.50,97828.00,17285.00,1472.67,5165.10,6277.00,8540.50,0.00,0.00,60360.50,40916.50,9938.47,38435.50,00:04,00:00,00:00,00:02,00:00,23732.00,772.95,5.00,0.00,0.00,0.00,32%,24%,25.10,8495.18,0,0,0,0,0,0,0,58209.00,0.00,0.00,0.00,0,0,0,00:00,0,0,2,1.29,27%,20%,8%,0%,0%,0,0,0%,0,0%,0,0,0,0,0,0,4,0,0,0,0,0
KidCanuck#2293,KidCanuck,KidCanuck,TRUE,https://www.heroesprofile.com/battletag/searched/KidCanuck%232293/alt,2683,2698,3245,417,2698,FALSE,,2293,TRUE,,100%,2,14.00,3.00,11.00,3.00,63%,4.67,9.00,0.50,2:03,9%,2.00,1.50,0.00,53362.00,2308.51,78227.00,105799.50,17787.33,17154.00,99727.00,18685.00,73887.00,2053.50,27465.50,1258.50,1481.47,11579.50,0.00,32221.50,1258.50,0.00,88818.50,77647.00,29606.17,32728.50,4:06,00:18,00:00,00:27,00:00,19356.00,844.65,6.50,0.00,0.50,0.00,56%,27%,26.07,9567.77,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,2,0.63,20%,29%,1%,17%,3%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
KillerFairy#11368,KillerFairy,KillerFairy,TRUE,https://www.heroesprofile.com/battletag/searched/KillerFairy%2311368/alt,2445,2650,1242,2181,2650,FALSE,,11368,TRUE,,0%,2,6.00,1.50,4.50,3.00,80%,3.60,3.00,0.50,2:12,11%,2.00,1.00,0.00,46039.00,2544.40,69983.00,93444.50,26556.60,24294.50,79572.00,20029.00,43054.00,3432.00,34185.00,0.00,439.86,5506.40,0.00,7430.00,0.00,0.00,43859.00,34695.50,25597.00,21759.50,00:31,00:00,00:00,00:00,00:00,10829.00,598.82,5.00,0.00,0.00,1.00,33%,6%,27.97,8413.88,0,13627.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,00:00,0,0,2,1.05,32%,18%,0%,3%,0%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,1,0,0
KingTarzan#11365,KingTarzan,KingTarzan,TRUE,https://www.heroesprofile.com/battletag/searched/KingTarzan%2311365/alt,2623,2853,33,202,2853,FALSE,,11365,TRUE,100,66.7%,3,10.33,4.67,5.67,2.67,76%,4.33,7.00,0.67,1:49,10%,1.33,0.67,0.00,35740.00,1951.84,44734.67,66679.33,13617.83,18772.67,66778.00,6079.67,54025.00,338.33,12127.00,0.00,966.49,6366.67,0.00,18238.33,0.00,0.00,50435.00,40680.67,18685.67,28211.67,1:33,00:11,00:00,00:05,00:00,15120.67,857.95,3.67,0.67,0.33,0.00,47%,24%,25.27,5873.67,0,0,0,0,0,0,0,21.67,0,0,0,0,0,0,00:00,0,0.00,3,0.75,17%,24%,0%,9%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
Kitty#1716,Kitty,Kitty,TRUE,https://www.heroesprofile.com/battletag/searched/Kitty%231716/alt,2649,2552,2636,275,2649,FALSE,,1716,TRUE,,100%,1,22.00,4.00,18.00,5.00,88%,4.40,8.00,1.00,2:33,16%,3.00,2.00,0.00,18558.00,1194.08,26996.00,27052.00,3711.60,14830.00,19886.00,7545.00,5989.00,1218.00,14318.00,0.00,1233.07,3832.80,0.00,19164.00,0.00,0.00,60357.00,38634.00,12071.40,46179.00,2:19,00:00,00:00,00:22,00:00,7064.00,454.52,5.00,0.00,2.00,0.00,51%,37%,28.22,7669.81,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,1,0.31,10%,29%,0%,15%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kitty#14207,Kitty,Kitty,TRUE,https://www.heroesprofile.com/battletag/searched/Kitty%2314207/alt,1880,2620,15,542,2620,FALSE,,14207,TRUE,,50%,2,13.00,2.00,11.00,3.50,85%,5.75,9.00,0.00,2:11,11%,1.00,0.50,0.00,25721.00,1482.67,37990.00,40910.00,8056.30,16781.00,47132.50,8651.50,31783.00,2206.00,5989.50,0.00,197.50,1359.25,0.00,2718.50,0.00,0.00,46858.00,34617.50,15542.30,25220.00,1:20,00:00,00:17,00:06,00:00,9759.50,577.09,2.00,0.00,1.00,0.00,24%,26%,24.19,4116.25,0,0,0.00,0.50,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,2,0.54,15%,24%,0%,10%,2%,0,0,0%,0,0%,1,0,0,0,0,0,0,0,0,0,0,0
koncept#11133,koncept,koncept,TRUE,https://www.heroesprofile.com/battletag/searched/koncept%2311133/alt,2733,2931,1777,995,2931,FALSE,TB,11133,TRUE,-20,55.3%,47,9.45,1.68,7.77,2.36,71%,5.70,6.91,0.09,1:44,9%,1.49,0.60,0.06,38654.57,2113.70,51222.91,111441.91,20414.53,24011.87,104670.62,10636.53,85651.47,2560.19,20153.04,36.83,1088.64,10399.93,23.28,19884.87,36.83,0.00,60534.47,51568.98,30684.12,38853.91,2:26,00:00,00:01,00:18,00:00,16199.11,877.12,2.51,0.19,0.06,0.21,33%,20%,26.46,7397.74,1.11,997.79,0.11,0.68,0,0,0,2520.77,0.00,0.00,0.00,4.83,0,307.87,00:01,0,0.06,12,0.75,19%,24%,0%,14%,2%,0,0,0%,0,0%,2,0,0,0,0,0,3,1,0,0,0,0
koncept#11394,koncept,koncept_alt,TRUE,https://www.heroesprofile.com/battletag/searched/koncept%2311394/alt,2625,3022,22,899,3022,FALSE,,11394,FALSE,-20,50%,2,11.00,2.00,9.00,2.00,82%,5.50,6.00,0.50,1:36,7%,1.50,0.50,0.00,49634.50,2220.88,46779.00,160103.00,24817.25,29243.50,121758.50,4972.50,101738.50,11437.50,32006.50,0.00,668.79,9196.25,0.00,18392.50,0.00,0.00,63777.00,56760.50,31888.50,39763.00,1:40,00:00,00:13,00:31,00:00,19607.00,782.24,3.00,0.00,0.00,0.00,26%,20%,25.96,9222.96,0,16381.00,0.00,3.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,2,1.26,19%,19%,0%,6%,3%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
KookyMonster#11241,KookyMonster,KookyMonster,TRUE,https://www.heroesprofile.com/battletag/searched/KookyMonster%2311241/alt,2671,2843,45,394,2843,FALSE,,11241,TRUE,,100%,2,18.50,6.00,12.50,2.00,83%,9.50,10.50,0.50,1:39,8%,0.50,5.00,0.00,64713.00,3282.39,73279.00,108717.50,24103.13,28301.50,103030.50,27512.50,62958.00,9348.50,26692.50,646.50,906.32,8012.00,0.00,15990.50,0.00,0.00,54216.50,46992.00,26964.88,26140.50,3:12,00:00,00:00,00:06,00:00,14174.00,780.19,3.50,2.00,0.00,0.00,67%,34%,30.48,11057.25,0,0,0.00,1.00,0,0,0,0,0,0,0,0,0,808.50,00:00,0,0,2,1.04,27%,21%,0%,16%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
Krisax#1220,Krisax,Krisax,TRUE,https://www.heroesprofile.com/battletag/searched/Krisax%231220/alt,2552,2477,116,979,2552,FALSE,,1220,TRUE,,40%,5,8.40,0.80,7.60,4.00,81%,4.12,5.00,0.20,2:54,11%,2.20,0.80,0.00,47899.60,1795.06,29601.80,108274.00,11362.55,21350.80,82082.80,14816.20,54505.20,5864.20,7404.80,27325.40,1707.20,17927.53,5435.20,1869.40,0.00,0.40,49127.00,32556.00,11654.70,30059.60,4:36,00:01,00:06,00:06,00:00,11722.00,460.61,4.00,0.00,0.00,0.20,24%,14%,28.83,14296.24,0,157.20,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,00:00,0,0,5,0.97,17%,15%,15%,22%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,1,0,0,0
Krom#11171,Krom,Krom,FALSE,https://www.heroesprofile.com/Player/Krom/9101079/1,2621,2567,256,3020,2621,TRUE,,11171,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksteele#1328,ksteele,ksteele,TRUE,https://www.heroesprofile.com/battletag/searched/ksteele%231328/alt,2660,2509,1772,672,2660,FALSE,,1328,TRUE,-150,45.5%,22,9.27,1.86,7.41,4.14,73%,2.60,5.09,0.36,2:47,14%,2.09,0.91,0.09,27594.14,1419.95,53275.50,72025.64,8104.06,14763.68,80907.82,15028.09,59878.77,1589.27,16311.00,23577.73,1546.42,8126.00,4231.18,6690.59,733.27,0.45,46345.09,33148.73,12845.91,29047.36,6:05,00:02,00:08,00:00,00:00,12219.05,610.14,2.77,0.05,0.18,0.14,29%,19%,25.93,7536.58,1.32,0.00,0.18,0.50,0,0,0,1495.14,0.00,0.00,0.00,3.23,0,0.00,00:00,0,0.14,15,0.67,14%,18%,9%,32%,1%,0,0,0%,0,0%,0,0,0,0,0,0,17,4,1,0,0,0
LadyGeneveve#1790,LadyGeneveve,LadyGeneveve,TRUE,https://www.heroesprofile.com/battletag/searched/LadyGeneveve%231790/alt,2619,2394,821,25,2619,FALSE,,1790,TRUE,-10,60%,5,11.00,3.40,7.60,3.20,79%,6.49,7.40,0.60,2:06,10%,1.20,1.20,0.00,39700.00,2165.14,24565.80,112736.60,17264.31,16764.40,87674.20,7867.00,52769.40,2942.20,6950.20,4276.60,327.32,1878.11,153.40,2413.60,1487.80,0.20,37490.80,28668.60,15642.38,19862.40,00:34,00:02,00:10,00:01,00:00,13523.60,743.15,1.60,0.00,0.00,0.00,35%,23%,25.57,7493.98,1.80,1763.00,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0.60,5,1.20,19%,15%,1%,3%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
LDFrenzy#1401,LDFrenzy,LDFrenzy,TRUE,https://www.heroesprofile.com/battletag/searched/LDFrenzy%231401/alt,2688,2438,737,24,2688,FALSE,,1401,TRUE,-25,37.5%,24,9.00,1.46,7.54,5.71,73%,2.06,4.71,0.25,3:54,20%,3.71,1.04,0.21,48627.54,2514.79,43839.54,88273.54,10022.63,30725.42,75037.46,12554.96,53456.46,4381.71,9172.04,7518.50,1317.34,5259.79,2330.17,18101.71,0.00,0.13,73764.67,53086.29,15312.33,51248.46,6:01,00:00,00:03,00:17,00:00,11114.63,578.80,1.79,0.08,0.13,0.42,26%,18%,25.66,6863.44,0.17,0,0.04,0.29,0,0,0,669.17,0.00,0.00,0.00,0.17,0,0,00:00,157.42,0.21,15,0.81,21%,27%,3%,32%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
lightning5#11764,lightning5,lightning5,TRUE,https://www.heroesprofile.com/battletag/searched/lightning5%2311764/alt,2696,2759,595,224,2759,FALSE,A,11764,TRUE,-50,42.5%,40,12.32,5.08,7.25,3.17,89%,6.04,8.18,0.75,2:11,11%,1.40,1.35,0.25,71003.88,3787.17,86510.73,62395.40,33045.87,40501.40,60328.00,12318.50,38582.78,3307.22,15778.55,0.00,487.47,3987.11,0.00,9594.67,0.00,0.00,50064.35,41793.15,20099.16,32101.40,1:05,00:00,00:00,00:02,00:00,9265.75,491.45,2.13,0.30,0.13,0.28,30%,22%,25.70,6622.25,0.23,2044.00,0.00,0.00,0,0,0.00,1316.30,0.00,0.00,0.00,0.85,0,259.00,00:00,84.58,0.00,7,1.62,34%,20%,0%,6%,0%,0,0,0%,0,0%,4,0,0,0,0,0,45,7,1,0,0,0
Lionbella#1698,Lionbella,Lionbella,TRUE,https://www.heroesprofile.com/battletag/searched/Lionbella%231698/alt,2608,2665,1758,1977,2665,FALSE,A,1698,TRUE,,0%,1,2.00,1.00,1.00,4.00,100%,0.50,1.00,0.00,1:37,13%,4.00,0.00,0.00,21529.00,1803.00,4505.00,63254.00,5382.25,11477.00,41023.00,834.00,24155.00,0.00,16323.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13811.00,6840.00,3452.75,10449.00,00:08,00:00,00:00,00:08,00:00,3926.00,328.79,4.00,0.00,0.00,0.00,2%,5%,21.86,1334.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,1.56,27%,12%,0%,1%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
LouSasle#11482,LouSasle,LouSasle,TRUE,https://www.heroesprofile.com/Player/LouSasle/602176/1,2828,2893,1742,383,2893,FALSE,,11482,TRUE,,45.5%,11,10.91,1.64,9.27,3.18,82%,5.93,7.00,0.45,2:17,11%,1.64,0.91,0.09,50123.55,2424.76,49211.09,135782.27,27138.75,25461.00,109333.36,21256.09,74424.09,5022.18,23840.64,19394.64,1735.40,19274.88,4058.82,14025.36,2345.09,0.27,59507.36,46682.27,28702.31,38124.82,1:14,00:05,00:01,00:15,00:00,15710.45,736.77,4.09,0.00,0.09,0.09,26%,21%,26.09,7724.56,0.73,1736.82,0.09,0.45,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0.00,11,0.96,21%,21%,9%,6%,2%,0,0,0%,0,0%,0,0,0,0,0,0,15,4,1,0,0,0
Macterror#1311,Macterror,Macterror,TRUE,https://www.heroesprofile.com/battletag/searched/Macterror%231311/alt,2306,2394,93,66,2394,FALSE,,1311,TRUE,,49%,49,10.63,2.57,8.04,2.80,77%,5.29,6.94,0.43,1:59,11%,1.51,0.41,0.02,42910.12,2252.35,60108.49,72416.63,21577.31,21426.37,76118.02,11787.67,50366.59,5192.39,13292.10,1984.43,529.28,4281.64,302.92,8365.37,170.61,0.04,39773.18,30163.53,17227.76,23983.73,1:18,00:01,00:01,00:05,00:00,10515.61,550.09,2.94,0.00,0.08,0.22,24%,20%,25.31,6571.82,0.39,1039.31,0.02,0.33,0,0,0,0,0.00,0.00,0.00,0.00,0,0,00:00,0,0.06,23,1.31,21%,16%,1%,7%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Maharba#1967,Maharba,Maharba,TRUE,https://www.heroesprofile.com/battletag/searched/Maharba%231967/alt,2741,2830,756,1935,2830,FALSE,,1967,TRUE,,46.2%,39,10.05,1.82,8.23,2.33,76%,6.37,7.08,0.21,1:35,8%,1.33,0.46,0.05,37569.62,1930.78,51323.56,120570.64,21304.23,18195.87,117336.31,11919.15,91035.62,4315.72,16211.03,18392.13,1499.61,20115.89,3414.26,10102.21,380.79,0.46,46909.31,39592.31,26255.23,21535.41,17:43,00:04,00:00,00:07,00:00,15663.33,812.95,3.36,0.00,0.13,0.21,33%,20%,25.96,7175.54,0.77,1363.67,0.00,0.26,0,0,0,975.00,0.00,0.00,0.00,0.49,0,0,00:02,0,0.00,11,0.91,18%,19%,7%,98%,1%,0,0,0%,0,0%,0,0,0,0,0,0,6,0,0,0,0,0
MangoMan#11691,MangoMan,MangoMan,TRUE,https://www.heroesprofile.com/Player/MangoMan/10684550/1,2939,3012,1552,346,3012,FALSE,,11691,TRUE,,60%,5,11.40,3.00,8.40,3.00,95%,6.00,7.20,0.20,1:59,11%,0.60,0.20,0.00,57029.80,3315.37,59276.40,90532.80,28540.98,29260.00,77790.80,14538.80,56042.60,761.00,13577.20,0.00,168.94,776.90,0.00,2854.20,0.00,0.00,30806.60,23507.60,13310.68,14963.60,1:33,00:08,00:00,00:04,00:00,11361.20,650.54,1.60,0.00,0.20,0.00,30%,21%,26.28,6486.97,0,0,0.00,0.20,0,0,0,3010.40,0.00,0.00,0.00,0,0,0,00:00,0,0.00,5,1.90,33%,15%,0%,9%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
