Lookup,Player,Sorting,On Teams,HP url,QM MMR,SL MMR,QM Games,SL Games,MMR,Untracked,Role,Tag,is_primary,Adjustment,Win %,Games,Takedowns,Kills,Assists,Deaths,Kill Participation,KDA,Highest Kill Streak,Vengeances,Time Dead,Time Dead %,Deaths While Outnumbered,Escapes,Team Fight Escapes,Hero Damage,DPM,Physical Damage,Ability Damage,Damage per Death,Team Fight Hero Damage,Siege Damage,Structure Damage,Minion Damage,Summon Damage,Creep Damage,Healing,HPM,Healing per Death,Team Fight Healing,Self Healing,Allied Shields,Clutch Heals,Damage Taken,Damage Soaked,Damage Taken per Death,Team Fight Damage Taken,CC Time,Root Time,Silence Time,Stun Time,Time on Fire,XP Contribution,XPM,Merc Camp Captures,Watch Tower Captures,Aces,Wipes,% of Game with Level Adv.,% of Game with Hero Adv.,Passive XP/Second,Passive XP Gained,Altar Damage Done,Damage to Immortal,Dragon Knights Captured,Shrines Captured,Dubloons Held At End,Dubloons Turned In,Skulls Collected,Shrine Minion Damage,Plant Damage,Seeds Collected,Garden Seeds Collected,Gems Turned In,Nuke Damage,Curse Damage,Time On Temple,Damage Done to Zerg,Cage Unlocks Interrupted,Hero Pool,Damage Ratio,% of Team Damage,% of Team Damage Taken,% of Team Damage Healed,% of Time Slow CC,% of Time Non-Slow CC,Votes,Awards,Award %,MVP,MVP %,Bsteps,Bstep TD,Bstep Deaths,Taunts,Taunt TD,Taunt Deaths,Sprays,Spray TD,Spray Deaths,Dances,Dance TD,Dance Deaths
Potato#18779,Potato,FloppyPanda_alt,TRUE,https://www.heroesprofile.com/battletag/searched/Potato%2318779/alt,2426,2474,11,21,2474,FALSE,,18779,FALSE,,0%,2,5.50,0.50,5.00,4.50,82%,2.21,2.50,0.00,2:49,17%,2.50,0.50,0.00,13096.00,773.13,15834.50,20965.00,4341.39,7054.50,17821.50,985.50,15414.00,495.50,5228.50,82026.50,4831.81,31582.36,18805.50,0.00,0.00,2.00,36715.00,25579.50,11496.61,25671.50,00:37,00:00,00:40,00:00,00:00,4199.50,247.65,3.00,0.00,0.00,0.00,10%,8%,23.54,3602.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,1070.00,0.00,1,0.36,6%,14%,32%,4%,4%,0,0,0%,0,0%,0,0,0,0,0,0,2,0,0,0,0,0
fuz#11423,fuz,funz,TRUE,https://www.heroesprofile.com/Player/fuz/3806339/1,2980,3210,1000,6362,3210,FALSE,TH,11423,TRUE,,82.8%,29,14.45,6.10,8.34,2.34,85%,7.74,9.86,0.79,1:27,8%,1.14,1.34,0.24,79262.52,4260.48,78693.00,119956.86,41476.39,42676.07,96753.52,25763.66,59585.90,5523.86,24343.14,4965.00,723.87,7072.53,1086.24,7278.86,24.14,0.00,48756.48,41449.93,24954.90,29888.97,1:17,00:00,00:05,00:11,00:00,14138.21,770.42,3.28,0.00,0.24,0.10,49%,26%,27.32,8087.38,0.31,841.52,0.07,0.34,0,0,0,112.24,0,0,0,0.69,0,248.86,00:00,0,0.10,19,1.92,33%,20%,3%,7%,2%,0,0,0%,0,0%,0,0,0,0,0,0,5,0,0,0,0,0
funbunz#11606,funbunz,funz_alt,TRUE,https://www.heroesprofile.com/battletag/searched/funbunz%2311606/alt,3202,3200,214,1207,3202,FALSE,,11606,FALSE,,100%,1,15.00,5.00,10.00,4.00,88%,3.75,8.00,3.00,2:53,12%,3.00,2.00,0.00,103886.00,4397.87,67057.00,222814.00,25971.50,71207.00,183983.00,20549.00,146247.00,3648.00,21498.00,0.00,826.44,4880.50,0.00,19522.00,0.00,0.00,86394.00,66695.00,21598.50,63768.00,2:02,00:22,00:00,00:00,00:00,21484.00,909.50,4.00,0.00,0.00,0.00,64%,26%,27.32,10374.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,1.20,29%,24%,0%,9%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
funz#11721,funz,funz_alt,TRUE,https://www.heroesprofile.com/battletag/searched/funz%2311721/alt,2283,3221,5,143,3221,TRUE,,11721,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin#1688,Goblin,Goblin,TRUE,https://www.heroesprofile.com/battletag/searched/Goblin%231688/alt,2564,2435,166,589,2564,FALSE,,1688,TRUE,,50%,4,11.50,1.75,9.75,3.00,77%,5.40,9.25,0.00,2:04,9%,1.75,1.25,0.00,59665.25,2334.15,59753.50,158250.25,27972.83,12528.50,131232.75,38091.00,78472.75,4553.25,26919.00,18504.00,1100.71,4443.66,3752.50,2121.50,343.25,0.75,41269.25,32699.25,15607.39,21541.25,00:33,00:00,00:09,00:00,00:00,13915.25,565.09,5.00,0.00,0.00,0.00,40%,26%,28.80,13780.69,0,888.25,0.00,0.50,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,4,1.75,19%,12%,7%,2%,1%,0,0,0%,0,0%,0,0,0,0,0,0,6,0,0,2,0,0
Goblin#12831,Goblin,Goblin,TRUE,https://www.heroesprofile.com/battletag/searched/Goblin%2312831/alt,2182,0,57,-1,2182,TRUE,,12831,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gojira#12949,Gojira,Gojira,TRUE,https://www.heroesprofile.com/Player/Gojira/1445000/1,2755,3137,407,3549,3137,FALSE,B,12949,TRUE,-20,100%,3,14.00,3.00,10.67,1.33,64%,9.83,11.67,0.33,1:06,6%,0.67,0.00,0.00,48793.33,2623.23,88630.67,140833.67,31994.83,37775.67,131724.33,28802.67,94810.00,7087.67,48609.33,0.00,1014.94,11556.50,0.00,19656.33,0.00,0.00,54376.33,47609.33,35881.33,34044.00,5:13,00:00,00:00,00:24,00:00,21015.67,1162.51,5.00,0.00,0.00,0.00,53%,25%,27.76,8999.91,3.67,0,0.33,2.00,0,0,0,0,0,0,0,35.00,0,0,00:00,0,0,2,0.88,22%,24%,0%,28%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
CopiusGirth#1680,CopiusGirth,Gojira_alt,TRUE,https://www.heroesprofile.com/battletag/searched/CopiusGirth%231680/alt,2299,3087,3,323,3087,FALSE,,1680,FALSE,-20,100%,1,12.00,2.00,10.00,3.00,75%,4.00,9.00,0.00,2:30,10%,1.00,1.00,1.00,66013.00,2680.73,58215.00,238061.00,22004.33,51412.00,180406.00,53637.00,109405.00,0.00,54715.00,0.00,970.27,7964.33,0.00,23893.00,0.00,0.00,59686.00,46345.00,19895.33,38337.00,2:50,00:00,00:00,00:30,00:00,21867.00,888.00,6.00,0.00,1.00,0.00,27%,19%,32.71,18783.10,0,0,2.00,5.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,1.11,29%,22%,0%,11%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
GrapeSoda#11958,GrapeSoda,GrapeSoda,TRUE,https://www.heroesprofile.com/battletag/searched/GrapeSoda%2311958/alt,1847,2830,1,450,2830,FALSE,,11958,TRUE,,100%,3,13.67,3.33,10.33,0.67,89%,11.50,11.67,0.33,00:27,3%,0.33,0.33,0.00,54513.33,3193.56,56408.67,120109.00,47372.17,29297.00,94972.00,17633.33,66122.00,8064.67,27559.67,0.00,720.61,12488.33,0.00,13175.67,0.00,0.00,47417.33,43969.33,38166.67,30233.33,3:00,00:00,00:00,00:18,00:00,14979.00,865.38,4.67,0.00,0.00,0.00,67%,27%,26.40,6842.89,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0.33,3,1.28,29%,25%,0%,17%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
G44#11651,G44,Gremlin,TRUE,https://www.heroesprofile.com/battletag/searched/G44%2311651/alt,2484,2685,81,267,2685,TRUE,T,11651,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
